run number,nominal diffusion coeff,nominal lifetime,nominal diffusion length,nominal CNR,estimated CNR,nominal sigma^2_0,estimated sigma^2_0,unweighted fit diffusion slope,unweighted fit diffusion slope stderr,unweighted fit intercept,unweighted fit intercept stderr,weighted fit diffusion slope,weighted fit diffusion slope stderr,weighted fit intercept,weighted fit intercept stderr,nominal diffusion coeff [cm^2/s],unweighted fit diffusion coeff [cm^2/s],unweighted fit diffusion stderr [cm^2/s],weighted fit diffusion coeff [cm^2/s],weighted fit diffusion stderr [cm^2/s]
609,0.010000000000000002,1,0.1,50.0,52.18541641707032,0.18033688011112042,0.17909245560282874,0.023237156968686733,0.004617883864191043,0.0006477891723566821,0.002739194854264471,0.02332163428485107,0.003364609055994528,0.0007874203278009661,0.0013568897275073697,0.1,0.11618578484343367,0.023089419320955217,0.11660817142425535,0.01682304527997264
610,0.010000000000000002,1,0.1,50.0,49.555087635962316,0.18033688011112042,0.1801381322801784,0.027571312212455696,0.004589547785500669,-0.002563897329383657,0.002722386713734869,0.02609501120814441,0.004358467436128912,-0.0020332761303465128,0.00180120353010382,0.1,0.13785656106227848,0.022947738927503347,0.13047505604072204,0.02179233718064456
611,0.010000000000000002,1,0.1,50.0,57.35687237624125,0.18033688011112042,0.18283561296896578,0.014432413063718202,0.0039032467465741154,-0.001279376602456471,0.0023152928305643582,0.012389531860695135,0.003678588385884761,-0.000430506744459853,0.0015132526863036214,0.1,0.07216206531859101,0.019516233732870578,0.06194765930347567,0.018392941929423805
612,0.010000000000000002,1,0.1,50.0,48.509484468468145,0.18033688011112042,0.17719406718843592,0.022779266085091048,0.0066275715911358855,-0.0008584165832331977,0.003931283361083194,0.017967097931850806,0.006228834574628405,0.001071762333930673,0.0026940244290608365,0.1,0.11389633042545524,0.033137857955679424,0.08983548965925402,0.03114417287314202
613,0.010000000000000002,1,0.1,50.0,51.609729595514445,0.18033688011112042,0.18201775216826094,0.015573423732044192,0.005309095293253645,-9.632836348956973e-05,0.0031492014385311267,0.015315963376431662,0.004823846255303441,-1.4414964657530208e-05,0.001973944061587746,0.1,0.07786711866022096,0.026545476466268224,0.07657981688215831,0.024119231276517206
614,0.010000000000000002,1,0.1,50.0,47.21155776148385,0.18033688011112042,0.17875723057311235,0.019256114826600633,0.003587968525511868,0.001494623445762077,0.0021282789284842005,0.018513400035561796,0.0032359057763852277,0.001638396600323775,0.0013922243782100263,0.1,0.09628057413300316,0.01793984262755934,0.09256700017780897,0.01617952888192614
615,0.010000000000000002,1,0.1,50.0,48.21140451403911,0.18033688011112042,0.18456040246031527,0.01843949615816478,0.004388579860142395,-0.0022515813610964157,0.002603178365668276,0.0169402189482765,0.004336686786913476,-0.0016933173901339396,0.001799624657905836,0.1,0.09219748079082389,0.02194289930071197,0.08470109474138249,0.02168343393456738
616,0.010000000000000002,1,0.1,50.0,54.67991680937538,0.18033688011112042,0.18064031432069577,0.02093214733266721,0.006330919505463771,-0.001746387620622999,0.0037553179426193352,0.017246524511186342,0.00543149340969969,2.3717767286035628e-05,0.0021023691416215307,0.1,0.10466073666333606,0.03165459752731885,0.08623262255593171,0.02715746704849845
617,0.010000000000000002,1,0.1,50.0,50.45313461226506,0.18033688011112042,0.17897271136335494,0.02210513601702184,0.004734669184584118,0.0005251088220081359,0.00280846852118255,0.021451619956717988,0.00443686101497024,0.0007131638959867541,0.001909266416596584,0.1,0.1105256800851092,0.023673345922920593,0.10725809978358994,0.0221843050748512
618,0.010000000000000002,1,0.1,50.0,54.37344805247538,0.18033688011112042,0.18173106288165294,0.018991434678839507,0.0028737465628855003,-0.0011537323865708693,0.0017046231626908057,0.0187152159746548,0.0028868728148290137,-0.0009135035405685528,0.0012100039517389187,0.1,0.09495717339419753,0.014368732814427502,0.093576079873274,0.014434364074145068
